"RODA","RODA.JK"," Pikko Land Development Tbk."
"ROTI","ROTI.JK"," Nippon Indosari Corpindo Tbk."
"RUIS","RUIS.JK"," Radiant Utama Interinsco Tbk."
"SAME","SAME.JK"," Sarana Meditama Metropolitan Tbk."
"SAPX","SAPX.JK"," Satria Antaran Prima Tbk."
"SCCO","SCCO.JK"," Supreme Cable Manufacturing & Commerce Tbk."
"SCMA","SCMA.JK"," Surya Citra Media Tbk."
"SDMU","SDMU.JK"," Sidomulyo Selaras Tbk."
"SDPC","SDPC.JK"," Millennium Pharmacon International Tbk."
"SHID","SHID.JK"," Hotel Sahid Jaya International Tbk."
"SIDO","SIDO.JK"," Industri Jamu dan Farmasi Sido Muncul Tbk."
"SILO","SILO.JK"," Siloam International Hospitals Tbk."
"SIMP","SIMP.JK"," Salim Ivomas Pratama Tbk."
"SIPD","SIPD.JK"," Sierad Produce Tbk."
"SKBM","SKBM.JK"," Sekar Bumi Tbk."
"SKLT","SKLT.JK"," Sekar Laut Tbk."
"SKRN","SKRN.JK"," Superkrane Mitra Utama Tbk."
"SKYB","SKYB.JK"," Northcliff Citranusa Indonesia Tbk."
"SMBR","SMBR.JK"," Semen Baturaja (Persero) Tbk."
"SMCB","SMCB.JK"," Solusi Bangun Indonesia Tbk."
"SMDR","SMDR.JK"," Samudera Indonesia Tbk."
"SMGR","SMGR.JK"," Semen Indonesia (Persero) Tbk."
"SMMT","SMMT.JK"," Golden Eagle Energy Tbk."
"SMRA","SMRA.JK"," Summarecon Agung Tbk."
"SMRU","SMRU.JK"," SMR Utama Tbk."
"SMSM","SMSM.JK"," Selamat Sempurna Tbk."
"SONA","SONA.JK"," Sona Topas Tourism Industry Tbk."
"SOSS","SOSS.JK"," Shield On Service Tbk."
"SOTS","SOTS.JK"," Satria Mega Kencana Tbk."
"SPMA","SPMA.JK"," Suparma Tbk."
"SPTO","SPTO.JK"," Surya Pertivvi Tbk."
"SQMI","SQMI.JK"," Renuka Coalindo Tbk."
"SRAJ","SRAJ.JK"," Sejahteraraya Anugrahjaya Tbk."
"SRSN","SRSN.JK"," Indo Acidatama Tbk."
"SRTG","SRTG.JK"," Saratoga Investama Sedaya Tbk."
"SSIA","SSIA.JK"," Surya Semesta Intemusa Tbk."
"SSTM","SSTM.JK"," Sunson Textile Manufacturer Tbk. "
"STAR","STAR.JK"," Buana Artha Anugerah Tbk."
"STTP","STTP.JK"," Siantar Top Tbk."
"SWAT","SWAT.JK"," Sriwahana Adityakarta Tbk."
"TAMU","TAMU.JK"," Pelayaran Tainarin Samudra Tbk."
"TARA","TARA.JK"," Sitara Propertindo Tbk."
